Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
13709,Nonprofit Management,Impact Measurement & Management Training & Course,26hrs 10min,Measuring Social Impact With Lean Data ➤ Impact Measurement & Management,https://www.youtube.com/watch?v=AS_vSJEZK8w,Module 1: Introduction to Social Impact Measurement,1,12th,English/Hindi
13710,Nonprofit Management,Impact Measurement & Management Training & Course,,Theory of Change: Framework for Social Impact,https://www.youtube.com/watch?v=cg4J1g0IVHg,Module 1:  Theory of Change: Framework for Social Impact,1,12th,English/Hindi
13711,Nonprofit Management,Impact Measurement & Management Training & Course,,Logic Model - Program Evaluation Foundation,https://www.youtube.com/watch?v=VQbOi74VmjM,Module 1: Logic Model - Program Evaluation Foundation,1,12th,English/Hindi
13712,Nonprofit Management,Impact Measurement & Management Training & Course,,Social Impact 🟢  Impact Strategy  🟢 Theory of Change ✴️ Impact Measurement,https://www.youtube.com/watch?v=XYV2EyThY3Y,"Module 1: Social Impact, Impact Strategy & Theory of Change",1,12th,English/Hindi
13713,Nonprofit Management,Impact Measurement & Management Training & Course,,Theory of Change and Impact Metrics ⏱️ Monitoring and Evaluation Indicators,https://www.youtube.com/watch?v=-UZo8kI4-PA,Module 2: Impact Metrics and Monitoring,2,12th,English/Hindi
13714,Nonprofit Management,Impact Measurement & Management Training & Course,,Impact Management Project : Five Dimensions Of Impact,https://www.youtube.com/watch?v=0tGAXWjZ8JM,Module 2: Theory of Change and Impact Metrics,2,12th,English/Hindi
13715,Nonprofit Management,Impact Measurement & Management Training & Course,,Impact Strategy Onboarding Tutorial | Automate Impact Measurement with Sopact Sense,https://www.youtube.com/watch?v=JzuPpziWgSQ,Module 2: Impact Management Project: Five Dimensions of Impact,2,12th,English/Hindi
13716,Nonprofit Management,Impact Measurement & Management Training & Course,,What is a better way to measure social impact ?☑️,https://www.youtube.com/watch?v=OXb_ww21Avg,Module 3: Measuring and Automating Impact,3,12th,English/Hindi
13717,Nonprofit Management,Impact Measurement & Management Training & Course,,Theory Of Change: How To Create Social Change,https://www.youtube.com/watch?v=279Bf4Gb6lk,Module 3: Measuring Social Impact With Lean Data,3,12th,English/Hindi
13718,Nonprofit Management,Impact Measurement & Management Training & Course,,How Impact Data Ownership: Unlocking the Power of Impact Measurement Capacity,https://www.youtube.com/watch?v=CYnKEXapKUY,Module 3: Impact Strategy Onboarding Tutorial,3,12th,English/Hindi
13719,Nonprofit Management,Impact Measurement & Management Training & Course,,Unlock Your Impact Potential: Master Data Capacity In-House for Greater Results 📊,https://www.youtube.com/watch?v=mnDow75Up3A,Module 4: Data Capacity and Impact Ownership,4,12th,English/Hindi
13720,Nonprofit Management,Impact Measurement & Management Training & Course,,Continuous learning and improvement,https://www.youtube.com/watch?v=h4JUQrQE8-s,Module 4: How Impact Data Ownership: Unlocking the Power,4,12th,English/Hindi
13721,Nonprofit Management,Impact Measurement & Management Training & Course,,Maximize Social Return On Investment SROI ↗↗,https://www.youtube.com/watch?v=evFvEgdG9sk,Module 4: Unlock Your Impact Potential: Master Data Capacity In-House,4,12th,English/Hindi
