Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
8687,Healthcare Management,Healthcare Law,17hrs 23min,Healthcare Law Introduction | BBALLBGYAN,https://www.youtube.com/watch?v=9PAuw6uVoDQ,Module 1: Introduction to Healthcare Law
8688,Healthcare Management,Healthcare Law,,"Constitutional Provisions (Fundamental Rights,Remedies) Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=penKoKffQy4,Module 1: Constitutional Provisions and Healthcare
8689,Healthcare Management,Healthcare Law,,Right to Confidentiality and Access to Medical Records Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=yIXFHA93KXw,Module 1: Confidentiality & Access to Medical Records
8690,Healthcare Management,Healthcare Law,,"Transplantation of Human Organs Act, 1994 Health Care Law | BBALLBGYAN",https://www.youtube.com/watch?v=bj92BPk-eSo,Module 1: Organ Transplantation Act
8691,Healthcare Management,Healthcare Law,,Pre-Conception and Pre Natal Diagnostic Techniques Act 1994 Health Care Law | BBALLBGYAN,https://www.youtube.com/watch?v=CVgWKUAAQNA,Module 2: Pre-Natal Diagnostics & Medical Ethics
8692,Healthcare Management,Healthcare Law,,The International Code of Medical Ethics Health Care Law | BBALLBGYAN,https://www.youtube.com/watch?v=6V1AUUkPAY0,Module 2: Regulating Medical Practices in India
8693,Healthcare Management,Healthcare Law,,"Indian Medicine Central Council Act, 1970 Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=YtqH-H4lUTw,Module 2: The Drugs and Cosmetics Act
8694,Healthcare Management,Healthcare Law,,"Dentist Act, 1948 Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=iKLFhGlM_JY,Module 3: Medical Negligence and Liability
8695,Healthcare Management,Healthcare Law,,"The Homeopathy Central Council Act, 1973 Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=cdJSOmfZyv4,Module 3: Consent and Negligence in Healthcare
8696,Healthcare Management,Healthcare Law,,"The Drugs and Cosmetics Act, 1940 Healthcare Law | BBALLBGYAN",https://www.youtube.com/watch?v=Sd_ZHMU5wvI,Module 3: Legal Frameworks in Healthcare
8697,Healthcare Management,Healthcare Law,,Medical Negligence Ingredients Health Law | BBALLBGYAN,https://www.youtube.com/watch?v=8smCpFMi4bI,Module 3: Consumer Protection in Healthcare
8698,Healthcare Management,Healthcare Law,,Role of Consent in Medical Practice Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=qNpxTk2L99A,Module 3: Consumer Protection in Healthcare
8699,Healthcare Management,Healthcare Law,,Gross Negligence Healthcare law | BBALLBGYAN,https://www.youtube.com/watch?v=wwm85D5Jr7M,Module 3: Consumer Protection in Healthcare
8700,Healthcare Management,Healthcare Law,,Wrongful Diagnosis Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=bFVa4uRF1dI,Module 3: Consumer Protection in Healthcare
8701,Healthcare Management,Healthcare Law,,Law of Torts Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=a2Q8a2Qc6zI,Module 3: Consumer Protection in Healthcare
8702,Healthcare Management,Healthcare Law,,Law of Crimes Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=xdZzE2poiOM,Module 3: Consumer Protection in Healthcare
8703,Healthcare Management,Healthcare Law,,Consumer Protection Law Healthcare Law | BBALLBGYAN,https://www.youtube.com/watch?v=ZIzlAlF73mc,Module 3: Consumer Protection in Healthcare
