Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
8704,Healthcare Management,Public Health,11hrs 16min,Crash Course Public Health Preview!,https://www.youtube.com/watch?v=PjdJ19ugXzQ,Module 1: Introduction to Public Health
8705,Healthcare Management,Public Health,,What is Public Health? Crash Course Public Health #1,https://www.youtube.com/watch?v=5aww-Bpgkf4,Module 1: Introduction to Public Health
8706,Healthcare Management,Public Health,,How Your Biology Affects Your Health: Crash Course Public Health #2,https://www.youtube.com/watch?v=SzsifG0UvTM,Module 1: Introduction to Public Health
8707,Healthcare Management,Public Health,,How the Environment Affects Your Health: Crash Course Public Health #3,https://www.youtube.com/watch?v=g3vf0I_j9kk,Module 1: Introduction to Public Health
8708,Healthcare Management,Public Health,,How Society Affects Your Health: Crash Course Public Health #4,https://www.youtube.com/watch?v=CcdSeqqMR5M,Module 2: Social and Environmental Determinants of Health
8709,Healthcare Management,Public Health,,Stress is Bad for Your Health: Crash Course Public Health #5,https://www.youtube.com/watch?v=rKaG9VaM0pw,Module 2: Social and Environmental Determinants of Health
8710,Healthcare Management,Public Health,,Intro to Epidemiology: Crash Course Public Health #6,https://www.youtube.com/watch?v=_luU3I03JwE,Module 2: Social and Environmental Determinants of Health
8711,Healthcare Management,Public Health,,Which Healthcare System is Best? Crash Course Public Health #7,https://www.youtube.com/watch?v=vxvhGj9fA3g,Module 3: Healthcare Systems and Public Health
8712,Healthcare Management,Public Health,,How Laws Affect Your Health: Crash Course Public Health #8,https://www.youtube.com/watch?v=Z08sh4PN8Lc,Module 3: Healthcare Systems and Public Health
8713,Healthcare Management,Public Health,,Global Health: Crash Course Public Health #9,https://www.youtube.com/watch?v=2rfRk_mTf7M,Module 3: Healthcare Systems and Public Health
8714,Healthcare Management,Public Health,,The Future of Public Health: Crash Course Public Health #10,https://www.youtube.com/watch?v=VvRr0oL6s_E,Module 4: The Future of Public Health
