Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,Minimum Education,Language
11309,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,151hrs 18min,HR Analytics | 8 Hours Course | Day 1 | 360DigiTMG,https://www.youtube.com/watch?v=2m9BIRGIKfQ,Module 1: Introduction to HR Analytics,12th,English/Hindi
11310,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 2 | 360DigiTMG,https://www.youtube.com/watch?v=BF3BdnZUUtw,Module 1: Data Collection & Cleaning in HR,12th,English/Hindi
11311,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 3 |  360DigiTMG,https://www.youtube.com/watch?v=IdponRxNrHk,Module 1: HR Metrics and Key Performance Indicators (KPIs),12th,English/Hindi
11312,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 4 | 360DigiTMG,https://www.youtube.com/watch?v=MYfGKM-fV7s,Module 1: Data Visualization for HR Insights,12th,English/Hindi
11313,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 5 | 360DigiTMG,https://www.youtube.com/watch?v=0bxtrLgwqBM,Module 2: Predictive Analytics in HR,12th,English/Hindi
11314,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 6 | 360DigiTMG,https://www.youtube.com/watch?v=z6kNr3DUuwo,Module 2: Talent Acquisition Analytics,12th,English/Hindi
11315,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 7 | 360DigiTMG,https://www.youtube.com/watch?v=PiPLnXPPyGk,Module 2: Employee Engagement and Retention Analytics,12th,English/Hindi
11316,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 8 | 360DigiTMG,https://www.youtube.com/watch?v=NMqM8w7__e4,Module 2: Performance Management Analytics,12th,English/Hindi
11634,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,151hrs 18min,HR Analytics | 8 Hours Course | Day 1 | 360DigiTMG,https://www.youtube.com/watch?v=2m9BIRGIKfQ,Module 3: Compensation and Benefits Analytics,12th,English/Hindi
11635,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 2 | 360DigiTMG,https://www.youtube.com/watch?v=BF3BdnZUUtw,Module 3: Diversity and Inclusion Analytics,12th,English/Hindi
11636,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 3 |  360DigiTMG,https://www.youtube.com/watch?v=IdponRxNrHk,Module 3: HR Analytics Case Studies,12th,English/Hindi
11637,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 4 | 360DigiTMG,https://www.youtube.com/watch?v=MYfGKM-fV7s,Module 3: Building an HR Analytics Strategy,12th,English/Hindi
11638,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 5 | 360DigiTMG,https://www.youtube.com/watch?v=0bxtrLgwqBM,Module 3: Building an HR Analytics Strategy,12th,English/Hindi
11639,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 6 | 360DigiTMG,https://www.youtube.com/watch?v=z6kNr3DUuwo,Module 3: Building an HR Analytics Strategy,12th,English/Hindi
11640,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 7 | 360DigiTMG,https://www.youtube.com/watch?v=PiPLnXPPyGk,Module 3: Building an HR Analytics Strategy,12th,English/Hindi
11641,Human Resources,HR Analytics | 8 hours | June 13 | 360DigiTMG,,HR Analytics | 8 Hours Course | Day 8 | 360DigiTMG,https://www.youtube.com/watch?v=NMqM8w7__e4,Module 3: Building an HR Analytics Strategy,12th,English/Hindi
