Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
4386,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,24hrs 13min,Internal Control and Characteristics | Part 1 | Principles & Practice of Auditing,https://www.youtube.com/watch?v=YCzz3PXt2aU,Module 1: Introduction to Internal Control,1,12th,English/Hindi
4387,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,Objectives & Principles of Internal Control | Part 2 | Principle & Practice of auditing,https://www.youtube.com/watch?v=6PIQkYw7pQk,Module 1: Introduction to Internal Control,1,12th,English/Hindi
4388,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,Advantages & Disadvantages & Duties of auditor in Internal Control | Part 3 | PPA,https://www.youtube.com/watch?v=hNE8QH4CoM8,Module 1: Introduction to Internal Control,1,12th,English/Hindi
4389,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,"Meaning, Definition, Objectives & Principles of Internal Check | Part 4 | PPA",https://www.youtube.com/watch?v=IE6FicM2tPY,Module 2: Objectives and Principles of Internal Control,2,12th,English/Hindi
4390,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,Advantages & disadvantages of Internal Check | Part 5 | PPA,https://www.youtube.com/watch?v=fDXLISh4a8c,Module 2: Objectives and Principles of Internal Control,2,12th,English/Hindi
4391,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,INTERNAL CHECK AS REGARDS CASH SALES | Part 6 | PPA,https://www.youtube.com/watch?v=jOI0efPfjBA,Module 3: Internal Check and Its Applications,3,12th,English/Hindi
4392,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,"Internal Check as regards to Counter sales, Credit Sales & Sales Return | Part 7 | PPA",https://www.youtube.com/watch?v=KrinNm2iFm8,Module 3: Internal Check and Its Applications,3,12th,English/Hindi
4393,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,"Internal Check as regards to Cash Purchases, Credit Purchases & Purchase Return | Part 8 | PPA",https://www.youtube.com/watch?v=TPi9C2L2zCg,Module 3: Internal Check and Its Applications,3,12th,English/Hindi
4394,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,Internal Check as regards to Wage Payment | Part 9 | PPA,https://www.youtube.com/watch?v=paVUcyl4ISo,Module 4: Internal Control vs. Internal Check,4,12th,English/Hindi
4395,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,Difference between Internal Control & Internal Check | Part 10 | PPA,https://www.youtube.com/watch?v=4O0igCj2l80,Module 4: Internal Control vs. Internal Check,4,12th,English/Hindi
4396,Accounting,Risk Assessment & Internal Control | Principles & Practice of Auditing,,Audit Risk & Risk Assessment | Part 11 | Principles & Practice of Auditing,https://www.youtube.com/watch?v=VDUw0TAHc-w,Module 5: Audit Risk and Assessment,5,12th,English/Hindi
