Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
8043,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,54hrs 3min,1. Technology and Entrepreneurship Overview,https://www.youtube.com/watch?v=MvPTVgGUsyc,Module 1: Introduction to Technology Entrepreneurship,1
8044,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,2. Silicon Valley,https://www.youtube.com/watch?v=dcNLIeBiUK0,Module 1: Introduction to Technology Entrepreneurship,1
8045,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,3. Nine Key Frameworks for Entrepreneurship,https://www.youtube.com/watch?v=Rf3xSqgpFHE,Module 2: Silicon Valley and Key Frameworks,2
8046,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,"4. Business Model Testing, OAP Projects",https://www.youtube.com/watch?v=iJtNvwpKyo4,Module 2: Silicon Valley and Key Frameworks,2
8047,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,5. The Founding Team,https://www.youtube.com/watch?v=c52Y2ObjFms,Module 3: Business Model Testing and Team Formation,3
8048,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,7. Brainstorming,https://www.youtube.com/watch?v=0B69rnynnCA,Module 3: Business Model Testing and Team Formation,3
8049,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,8. Technology Life Cycles and Diffusion,https://www.youtube.com/watch?v=NKdbpWN3obw,Module 4: Brainstorming and Technology Life Cycles,4
8050,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,9. Case Discussion and Business Models,https://www.youtube.com/watch?v=h9EgMrDRZDg,Module 4: Brainstorming and Technology Life Cycles,4
8051,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,10. Customer Development and Lean Startups,https://www.youtube.com/watch?v=sBhtb6Hb_O4,Module 5: Customer Development and Lean Startups,5
8052,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,11. Customer Development and the Business Model Canvas,https://www.youtube.com/watch?v=VGqusTa0wCw,Module 5: Customer Development and Lean Startups,5
8053,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12. Why is Customer Development So Tough?,https://www.youtube.com/watch?v=R_cwS4_x1k0,Module 5: Customer Development and Lean Startups,5
8054,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,13. FlightCaster,https://www.youtube.com/watch?v=2YcXaGfp8vk,Module 6: Customer Development Challenges and Case Studies,6
8055,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,14. Startup Genome,https://www.youtube.com/watch?v=SNOzBZY41jU,Module 6: Customer Development Challenges and Case Studies,6
8056,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,15. Entrepreneurial Marketing,https://www.youtube.com/watch?v=3TltbMyJ2xY,Module 7: Entrepreneurial Marketing and Sales,7
8057,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,16. Entrepreneurial Sales and Marketing,https://www.youtube.com/watch?v=x6-MJe-jnlA,Module 7: Entrepreneurial Marketing and Sales,7
8058,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,17. Acid Test for Entrepreneurs,https://www.youtube.com/watch?v=r1EPkoPiQmk,Module 8: The Acid Test and Entrepreneurial Sales,8
8059,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,18. Entreprenuerial Sales,https://www.youtube.com/watch?v=c6q7cKwiwa8,Module 8: The Acid Test and Entrepreneurial Sales,8
8060,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,19. Trialpay,https://www.youtube.com/watch?v=TaDWkHoKc7A,Module 9: Technology Transfer and Life Sciences,9
8061,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,20. Technology Transfer at Stanford University,https://www.youtube.com/watch?v=ifERZQsy-M0,Module 9: Technology Transfer and Life Sciences,9
8062,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,21. Entrepreneurship in the Life Sciences,https://www.youtube.com/watch?v=2ufe4oiZPew,Module 10: Venture Finance Fundamentals,10
8063,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,22. Domainr,https://www.youtube.com/watch?v=gXlz-YPVpYQ,Module 10: Venture Finance Fundamentals,10
8064,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,23. Ulu Ventures,https://www.youtube.com/watch?v=qvotSSDXy2E,Module 11: Venture Finance Strategies,11
8065,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,24. Focal Labs,https://www.youtube.com/watch?v=Sa1JeaAjNTA,Module 11: Venture Finance Strategies,11
8066,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,"25. Venture Finance, Part 1",https://www.youtube.com/watch?v=7JQZMPcF-lg,Module 12: Venture Finance in Practice,12
8067,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,"26. Venture Finance, Part 2",https://www.youtube.com/watch?v=XmUMmfqaCUM,Module 12: Venture Finance in Practice,12
8068,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,"27. Venture Finance, Part 3",https://www.youtube.com/watch?v=Z_6ArmFX65A,Module 13: Course Summary and Conclusion,13
8069,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,28. Course Summary,https://www.youtube.com/watch?v=hc5xkf9JqoE,Module 13: Course Summary and Conclusion,13
