Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
10713,Statistics,Probability Theory,14hrs 12min,Probability Theory 1 | Introduction (including R),https://www.youtube.com/watch?v=wgV0rjJqpqI,Module 1: Introduction to Probability,1,12th,English/Hindi
10714,Statistics,Probability Theory,,Probability Theory 2 | Probability Measures,https://www.youtube.com/watch?v=u5IouBwYji4,Module 1: Probability Measures,1,12th,English/Hindi
10715,Statistics,Probability Theory,,Probability Theory 3 | Discrete vs. Continuous Case,https://www.youtube.com/watch?v=XZHi51f-B9A,Module 1: Discrete vs. Continuous Probability,1,12th,English/Hindi
10716,Statistics,Probability Theory,,Probability Theory 4 | Binomial Distribution,https://www.youtube.com/watch?v=56zbWxJ3ono,Module 1: The Binomial Distribution,1,12th,English/Hindi
10717,Statistics,Probability Theory,,Probability Theory 5 | Product Probability Spaces,https://www.youtube.com/watch?v=7WvdpFqptZk,Module 2: Product Probability Spaces,2,12th,English/Hindi
10718,Statistics,Probability Theory,,Probability Theory 6 | Hypergeometric Distribution,https://www.youtube.com/watch?v=XV1w87Qkgls,Module 2: The Hypergeometric Distribution,2,12th,English/Hindi
10719,Statistics,Probability Theory,,Probability Theory 7 | Conditional Probability,https://www.youtube.com/watch?v=FQEjTqenTkw,Module 2: Conditional Probability,2,12th,English/Hindi
10720,Statistics,Probability Theory,,Probability Theory 8 | Bayes's Theorem and Total Probability,https://www.youtube.com/watch?v=Y-MOGLJLlnY,Module 2: Bayes's Theorem and Total Probability,2,12th,English/Hindi
10721,Statistics,Probability Theory,,Probability Theory 9 | Independence for Events,https://www.youtube.com/watch?v=4GfcBpoibig,Module 3: Independence for Events,3,12th,English/Hindi
10722,Statistics,Probability Theory,,Probability Theory 10 | Random Variables,https://www.youtube.com/watch?v=WPk-YahKyoE,Module 3: Random Variables,3,12th,English/Hindi
10723,Statistics,Probability Theory,,Probability Theory 11 | Distribution of a Random Variable,https://www.youtube.com/watch?v=UOp3kFj0slo,Module 3: Distribution of a Random Variable,3,12th,English/Hindi
10724,Statistics,Probability Theory,,Probability Theory 12 | Cumulative Distribution Function,https://www.youtube.com/watch?v=N3iXUaRhyt8,Module 3: Cumulative Distribution Function,3,12th,English/Hindi
10725,Statistics,Probability Theory,,Probability Theory 13 | Independence for Random Variables,https://www.youtube.com/watch?v=lawe9TT1p18,Module 4: Independence for Random Variables,4,12th,English/Hindi
10726,Statistics,Probability Theory,,Probability Theory 14 | Expectation and Change-of-Variables,https://www.youtube.com/watch?v=EhVbqe8J_Ww,Module 4: Expectation and Change-of-Variables,4,12th,English/Hindi
10727,Statistics,Probability Theory,,Probability Theory 15 | Properties of the Expectation,https://www.youtube.com/watch?v=FGoEgJYsNRg,Module 4: Properties of the Expectation,4,12th,English/Hindi
10728,Statistics,Probability Theory,,Probability Theory 16 | Variance,https://www.youtube.com/watch?v=lVEIHSM4ih8,Module 4: Variance,4,12th,English/Hindi
10729,Statistics,Probability Theory,,Probability Theory 17 | Standard Deviation,https://www.youtube.com/watch?v=M3BggqD2L2U,Module 5: Standard Deviation,5,12th,English/Hindi
10730,Statistics,Probability Theory,,Probability Theory 18 | Properties of Variance and Standard Deviation,https://www.youtube.com/watch?v=f0G2nZQxe08,Module 5: Properties of Variance and Standard Deviation,5,12th,English/Hindi
10731,Statistics,Probability Theory,,Probability Theory 19 | Covariance and Correlation,https://www.youtube.com/watch?v=0XvJ6NOemEU,Module 5: Covariance and Correlation,5,12th,English/Hindi
10732,Statistics,Probability Theory,,Probability Theory 20 | Marginal Distributions,https://www.youtube.com/watch?v=wJf1mJoxZk8,Module 6: Marginal Distributions,6,12th,English/Hindi
10733,Statistics,Probability Theory,,Probability Theory 21 | Conditional Expectation (given events),https://www.youtube.com/watch?v=GDQW5AC0SDQ,Module 6: Conditional Expectation (given events),6,12th,English/Hindi
10734,Statistics,Probability Theory,,Probability Theory 22 | Conditional Expectation (given random variables),https://www.youtube.com/watch?v=fGimZIt-NxI,Module 6: Conditional Expectation (given random variables),6,12th,English/Hindi
10735,Statistics,Probability Theory,,Probability Theory 23 | Stochastic Processes,https://www.youtube.com/watch?v=N8OZSyCvaU4,Module 6: Stochastic Processes,6,12th,English/Hindi
10736,Statistics,Probability Theory,,Probability Theory 24 | Markov Chains,https://www.youtube.com/watch?v=hDx2vL0-IbE,Module 6: Markov Chains,6,12th,English/Hindi
