Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,Minimum Education,Language
5234,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,140hrs 12min,Introduction to Surveying | Lec 1 | Surveying | GATE CE Exam | Kshitij Sir,https://www.youtube.com/watch?v=NFESMeh_gU4,Module 1: Introduction & Types of Surveying,12th,English/Hindi
5235,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,"Classification, Types and Objective of Surveying | Lec 2 | Surveying | GATE CE Exam | Kshitij Sir",https://www.youtube.com/watch?v=AlK1VMWp5JU,Module 1: Introduction & Types of Surveying,12th,English/Hindi
5236,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,"Principles of Surveying, Linear Measurement | Lec 3 | Surveying | GATE CE Exam | Kshitij Sir",https://www.youtube.com/watch?v=NuK_7BDzr5E,Module 1: Introduction & Types of Surveying,12th,English/Hindi
5237,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Chain and Tape Surveying | Lec 4 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=3pH4udRATjI,Module 1: Introduction & Types of Surveying,12th,English/Hindi
5238,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Corrections for Tape Surveying | Lec 5 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=wAN7DRKSXxk,Module 2: Chain & Compass Surveying,12th,English/Hindi
5239,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Limiting Length of Offset | Lec 6 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=4AZ55j3C5UU,Module 2: Chain & Compass Surveying,12th,English/Hindi
5240,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Compass Surveying: Important Terminology | Lec 7 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=ZYt7ot5DdAk,Module 2: Chain & Compass Surveying,12th,English/Hindi
5241,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Designation of Bearings | Lec 8 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=FH3Q9RGPLjk,Module 2: Chain & Compass Surveying,12th,English/Hindi
5242,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Magnetic Declination: Concept and Numerical | Lec 9 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=2tXHwmFeZh4,Module 2: Chain & Compass Surveying,12th,English/Hindi
5243,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Local Attraction | Lec 10 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=UiYWP6Nvp6s,Module 2: Chain & Compass Surveying,12th,English/Hindi
5244,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Correction for Local Attraction  | Lec 11 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=f2Os6yWTSAg,Module 3: Traverse Surveying & Levelling,12th,English/Hindi
5245,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Traverse Surveying  | Lec 12 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=s75woQo5cmE,Module 3: Traverse Surveying & Levelling,12th,English/Hindi
5246,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,latitude and departure  | Lec 13 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=E2o8UYsYFE0,Module 3: Traverse Surveying & Levelling,12th,English/Hindi
5247,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Closing Error of Traverse | Lec 14 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=v3BzWWG37p0,Module 3: Traverse Surveying & Levelling,12th,English/Hindi
5248,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Levelling- Basic Terminology  | Lec 15 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=cYhK6JG3r_Y,Module 3: Traverse Surveying & Levelling,12th,English/Hindi
5249,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,Height of Instrument & Rise and Fall Method | Lec 16 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=65r2tSP6LbQ,Module 3: Traverse Surveying & Levelling,12th,English/Hindi
