Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
4161,Electrical Engineering,Fundamentals of Electric Drives,74hrs 8min,noc19-ee65-lec01,https://www.youtube.com/watch?v=1AT1yuQ9awM,Module 1: Introduction to Electric Drives
4162,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec02,https://www.youtube.com/watch?v=zWvcM-4aUgg,Module 1: Introduction to Electric Drives
4163,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec03,https://www.youtube.com/watch?v=JZ6f_i4ao6Y,Module 1: Introduction to Electric Drives
4164,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec04,https://www.youtube.com/watch?v=oE9JHETIuns,Module 1: Introduction to Electric Drives
4165,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec05,https://www.youtube.com/watch?v=x1wKfrvXQvQ,Module 2: Modeling of DC Machines
4166,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec06,https://www.youtube.com/watch?v=3A0hUjiFLUA,Module 2: Modeling of DC Machines
4167,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec07,https://www.youtube.com/watch?v=D0BZLsTV9fY,Module 2: Modeling of DC Machines
4168,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec08,https://www.youtube.com/watch?v=NfLS6Kt4nPE,Module 3: DC Motor Control
4169,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec09,https://www.youtube.com/watch?v=e_JFQAOg8Mk,Module 3: DC Motor Control
4170,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec10,https://www.youtube.com/watch?v=1HZTerNo0sA,Module 3: DC Motor Control
4171,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec11,https://www.youtube.com/watch?v=9-xX1i_JSW0,Module 4: AC Machine Fundamentals
4172,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec12,https://www.youtube.com/watch?v=pjwXSoOGXiE,Module 4: AC Machine Fundamentals
4173,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec13,https://www.youtube.com/watch?v=6ETL5XI4uy0,Module 4: AC Machine Fundamentals
4174,Electrical Engineering,Fundamentals of Electric Drives,,noc19-ee65-lec14,https://www.youtube.com/watch?v=AriELqEa0G8,Module 5: Induction Motor Principles
